integrantes,unidad,programa,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
SARA MARIA AGUILAR SIERRA,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,INGENIERÍA INDUSTRIAL,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001432936,SISCO,2018-02-01, Actual,Doctorado,Sin clasificar,_RFI4pkAAAAJ,3,2,0,0,0,0,2
SHIRLENE PATRICIA VEGA ROYERO,DEPARTAMENTO DE CIENCIAS BASICAS,INGENIERÍA DE SISTEMAS,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436238,SISCO,2015-11-01, Actual,Doctorado,Investigador Junior (IJ),yQ7g9xUAAAAJ,3,5,0,0,0,1,0
SUYIS YAJAIRA LOZANO GARCIA,CENTRO REGIONAL APARTADO,INGENIERÍA DE SISTEMAS,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001610177,SISCO,2020-07-01, Actual,Maestría/Magister,Sin clasificar,z1vjdF0AAAAJ,0,0,0,0,0,0,0
YODER ALBERTO SUAZA TABARES,DEPARTAMENTO DE CIENCIAS BASICAS,NEGOCIOS INTERNACIONALES,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009408,SISCO,2019-07-01, Actual,Doctorado,Sin clasificar,NA,0,2,0,0,0,0,0
ANDRES MAURICIO GRISALES AGUIRRE,CENTRO REGIONAL MANIZALES,NEGOCIOS INTERNACIONALES,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436256,SISCO,2015-11-01, Actual,Maestría/Magister,Sin clasificar,-urmP7EAAAAJ,4,5,0,0,0,0,0
EDGAR ANDRES CHAVARRIAGA MIRANDA,DEPARTAMENTO DE CIENCIAS BASICAS,NEGOCIOS INTERNACIONALES,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001405175,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),qSOzbFwAAAAJ,3,16,0,0,0,0,0
FRANKLIN FERRARO GOMEZ,DEPARTAMENTO DE CIENCIAS BASICAS,INGENIERÍA DE SISTEMAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000651532,SISCO,2013-07-01, Actual,Doctorado,Investigador Junior (IJ),DNeZOJUAAAAJ,11,19,0,0,0,0,1
INGRID DURLEY TORRES PARDO,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,INGENIERÍA DE SISTEMAS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001404075,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),nchHazIAAAAJ,6,10,1,0,16,0,6
LINA MARIA MONTOYA SUAREZ,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,INGENIERÍA DE SISTEMAS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001456255,SISCO,2014-04-01, Actual,Maestría/Magister,Investigador Asociado (I),7Y-8siIAAAAJ,5,9,2,0,6,0,0
LUIS FERNANDO CARDONA PALACIO,DEPARTAMENTO DE CIENCIAS BASICAS,INGENIERÍA DE SISTEMAS,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001472696,SISCO,2014-07-01, Actual,Doctorado,Investigador Junior (IJ),hOgH7HAAAAAJ,4,5,0,0,0,0,0
JUAN SEBASTIAN PARRA SANCHEZ,Otro,Otro,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000072898,SISCO,2020-05-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,0,0,0
VICTOR DANIEL GIL VERA,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,INGENIERÍA DE SISTEMAS,Integrante,10; 8; 4; 10; 8; 4; 10; 8; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001482462,SISCO; GORAS; NEUROCIENCIAS BASICAS Y APLICADAS,2014-01-01; 2014-12-01; 2014-08-01, Actual,Maestría/Magister,Investigador Asociado (I),1-4BHH8AAAAJ,6,19; 4; 15,5; 0; 7,0; 0; 0,10; 0; 1,0; 0; 1,7; 0; 5
CARLOS ANDRES TREJOS GIL,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",COMUNICACIÓN SOCIAL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000173459,URBANITAS,2018-02-01, Actual,Maestría/Magister,Sin clasificar,Hw7ZjsEAAAAJ,1,7,0,0,1,0,6
CARLOS SUAREZ QUICENO,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",COMUNICACIÓN SOCIAL,Integrante,11,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000485446,URBANITAS,2008-02-01, Actual,Doctorado,Investigador Junior (IJ),1ATgz8UAAAAJ,0,1,7,3,16,0,2
EDWIN ANDRES SEPULVEDA CARDONA,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",COMUNICACIÓN SOCIAL,Integrante,22,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000703338,URBANITAS,2005-08-01, Actual,Doctorado,Investigador Asociado (I),KH7yFUsAAAAJ,4,5,16,3,14,0,14
JHOEEN SNEYDER ROJAS DIAZ,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",COMUNICACIÓN SOCIAL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001317040,URBANITAS,2017-02-01, Actual,Maestría/Magister,Sin clasificar,SuGmv1UAAAAJ,1,1,1,1,0,13,0
JUAN DIEGO LOPEZ MEDINA,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",PUBLICIDAD,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001206427,URBANITAS,2015-02-01, Actual,Doctorado,Sin clasificar,5rZW9KcAAAAJ,2,3,7,2,0,5,38
KEVIN TORO PERALTA,CENTRO REGIONAL MANIZALES,COMUNICACIÓN SOCIAL,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000025642,URBANITAS,2021-08-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,0,0,0
LINA MARIA RENDON LOPEZ,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",COMUNICACIÓN SOCIAL,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001376578,URBANITAS,2020-02-01, Actual,Doctorado,Investigador Asociado (I),6uKvLyYAAAAJ,6,0,0,0,0,0,0
